
> funcqc@0.1.0 dev
> tsx src/cli.ts list --limit 898

ID       Name                            CC LOC File                                     Location
-------- ------------------------------- -- --- ---------------------------------------- --------
b7fa9106 extractPromiseType               1   4 src/analyzers/typescript-analyzer.ts     657-660
f2cfc4a2 calculateFileHash                1   3 src/analyzers/typescript-analyzer.ts     662-664
7ed1fe9e calculateASTHash                 1  12 src/analyzers/typescript-analyzer.ts     666-678
91b99982 calculateSignatureHash           1   3 src/analyzers/typescript-analyzer.ts     680-682
e9dc92a2 generatePhysicalId               1   5 src/analyzers/typescript-analyzer.ts     687-689
6499b459 generateSemanticId               1  19 src/analyzers/typescript-analyzer.ts     695-712
5ba52336 generateContentId                1  10 src/analyzers/typescript-analyzer.ts     718-725
d57d2175 extractContextPath               1  22 src/analyzers/typescript-analyzer.ts     731-752
4f4087d7 extractModifiers                 1   2 src/analyzers/typescript-analyzer.ts     757-782
9e4d4f7b determineFunctionType            1  20 src/analyzers/typescript-analyzer.ts     787-807
d78cb373 calculateNestingLevel            1  15 src/analyzers/typescript-analyzer.ts     812-826
545c0604 extractConstructorContextPath    1  11 src/analyzers/typescript-analyzer.ts     831-842
3a65d8cd calculateConstructorNestingL...  1   5 src/analyzers/typescript-analyzer.ts     847-850
640e7857 manageMemory                     1   3 src/analyzers/typescript-analyzer.ts     856-865
542908fc cleanup                          1   3 src/analyzers/typescript-analyzer.ts     870-875
4b25167d getMemoryStats                   1   8 src/analyzers/typescript-analyzer.ts     880-885
cdda6cc6 setupErrorHandling               1   7 src/cli.ts                               216-225
dfcc6304 performSystemCheck               2   5 src/cli.ts                               227-232
bb3048f9 handleSystemCheckFlag            2   5 src/cli.ts                               234-239
bc715724 handleWorkingDirectoryChange     4  14 src/cli.ts                               241-255
1f2776b6 handleHelpDisplay                2   5 src/cli.ts                               257-262
38be7dd8 isReadOnlyCommand                1   4 src/cli.ts                               266-269
52cb9823 handleSystemCheckBeforeCommands  5  11 src/cli.ts                               271-284
78cd69d9 main                             3  14 src/cli.ts                               287-303
65c9a2ca describeCommand                  6  32 src/cli/describe.ts                      24-62
432a8378 handleBatchDescribe              2   9 src/cli/describe.ts                      64-76
bd2958a6 loadBatchDescriptions            5  15 src/cli/describe.ts                      78-95
2ca71ec7 processBatchDescription          8  25 src/cli/describe.ts                      97-124
e3879f70 findContentIdBySemanticId        4  22 src/cli/describe.ts                      126-148
cf860ef5 handleSingleDescribe             4  17 src/cli/describe.ts                      150-169
21fe0d67 findTargetFunction               6  24 src/cli/describe.ts                      171-204
925a1e16 findFunctionById                 1  14 src/cli/describe.ts                      206-219
a96b2b3b findFunctionByPartialId          1  14 src/cli/describe.ts                      221-234
28ce3eb1 findFunctionByName               3  24 src/cli/describe.ts                      236-262
b194a10d showFunctionNotFound             1   7 src/cli/describe.ts                      264-270
834bcc47 showMultipleMatches              3  17 src/cli/describe.ts                      272-291
ef4bb9e1 saveDescription                  3  24 src/cli/describe.ts                      293-319
ad058ada showExistingDescription          2  12 src/cli/describe.ts                      321-334
24ea5173 displayDescription               4  19 src/cli/describe.ts                      336-355
e9bc3ab1 showNoDescription                1   9 src/cli/describe.ts                      357-365
ee627326 createFunctionDescription        6  26 src/cli/describe.ts                      367-393
4231f981 getRiskIcon                      7  14 src/cli/describe.ts                      395-412
8240525f diffCommand                      7  32 src/cli/diff.ts                          16-57
80214781 resolveSnapshotId               10  19 src/cli/diff.ts                          59-86
920b9bc6 displaySummary                  11  23 src/cli/diff.ts                          88-118
169442a4 displayFullDiff                  1   9 src/cli/diff.ts                          120-136
a3982206 displayDiffHeader                3   5 src/cli/diff.ts                          138-142
b1bc662a filterFunctions                  7  27 src/cli/diff.ts                          150-183
ed206ad9 filterByFunctionName             1   3 src/cli/diff.ts                          185-187
2630f020 filterByFilePath                 1   3 src/cli/diff.ts                          189-191
429eb46f displayAddedFunctions            4  11 src/cli/diff.ts                          193-204
db0124aa displayRemovedFunctions          4  11 src/cli/diff.ts                          206-217
edd3162f displayModifiedFunctions         8  22 src/cli/diff.ts                          219-246
d6ad7155 displayChange                    4  28 src/cli/diff.ts                          248-279
9b2aa6b7 isNumericChange                  2   3 src/cli/diff.ts                          281-283
a311bc7c formatDate                       5  18 src/cli/diff.ts                          285-310
f08b7124 createEvaluateCommand            4  34 src/cli/evaluate.ts                      33-73
29650943 validateEvaluateOptions         14  27 src/cli/evaluate.ts                      75-105
8f14990b handleSingleEvaluation           8  32 src/cli/evaluate.ts                      107-149
488ad1a0 handleBatchEvaluation           24  71 src/cli/evaluate.ts                      151-247
cf07cf84 generateDescriptionHash          3   4 src/cli/evaluate.ts                      249-253
a2096897 displayEvaluationResult          5  37 src/cli/evaluate.ts                      255-296
9e9418fd displayBatchSummary              8  45 src/cli/evaluate.ts                      298-347
6fa2653f getRatingDescription             4   7 src/cli/evaluate.ts                      349-355
902c3a8d historyCommand                   3  18 src/cli/history.ts                       19-42
cf337204 displaySnapshotHistory          11  38 src/cli/history.ts                       44-97
b9c59707 truncateWithEllipsis             3   6 src/cli/history.ts                       99-105
38c00cdc displayCompactHistory            6  20 src/cli/history.ts                       107-134
dbfd055f displayDetailedHistory           3  18 src/cli/history.ts                       136-162
945c9a47 displaySnapshotInfo              5   9 src/cli/history.ts                       164-173
48a4d102 displaySnapshotMetadata          1   8 src/cli/history.ts                       175-182
d7a10317 displayComplexityDistribution    2   9 src/cli/history.ts                       184-194
95e38312 displayFileExtensions            2   7 src/cli/history.ts                       196-204
6fc20dd4 displaySnapshotChanges           7  21 src/cli/history.ts                       206-228
f383dc44 displayHistorySummary            4  18 src/cli/history.ts                       230-253
9e5566b8 calculateP95Complexity           6  18 src/cli/history.ts                       255-281
63886ea0 calculateHighRiskCount           3   8 src/cli/history.ts                       283-291
08605988 formatFunctionCountWithDiff      3   9 src/cli/history.ts                       293-302
89652e78 formatHighRiskCount              2   7 src/cli/history.ts                       304-311
df80fda3 formatDate                       5  18 src/cli/history.ts                       313-338
edcf74c0 displayFunctionHistory           3  16 src/cli/history.ts                       340-358
b0558429 getSnapshots                     2   7 src/cli/history.ts                       360-366
855afc80 buildFunctionHistory             5  27 src/cli/history.ts                       368-397
665ce7a5 applyFiltersToHistory            9  24 src/cli/history.ts                       399-425
b0950c3d displayFunctionHistoryResults    4  16 src/cli/history.ts                       427-445
d7db06c0 displayCompactFunctionHistory    7  20 src/cli/history.ts                       447-471
917ed9b4 displayDetailedFunctionHistory  11  37 src/cli/history.ts                       473-518
4850b032 displayFunctionHistorySummary    3  31 src/cli/history.ts                       520-559
63b84ef8 calculateQualityTrend           10  17 src/cli/history.ts                       561-583
d8560268 formatChange                     3   5 src/cli/history.ts                       585-589
f0e92ae1 calculateOverallQualityTrend    11  20 src/cli/history.ts                       591-618
16c9405b initCommand                      5  16 src/cli/init.ts                          27-44
1d547ba5 showCurrentConfig                2  13 src/cli/init.ts                          46-60
1d2a0f31 resetConfig                      2   9 src/cli/init.ts                          62-72
25e5fc72 createConfig                     6  32 src/cli/init.ts                          74-114
3f36e6cb createConfigFile                 1   5 src/cli/init.ts                          116-121
e8c7e5f1 generateConfigContent            1   5 src/cli/init.ts                          123-129
c434da53 ensureDataDirectory              2   7 src/cli/init.ts                          131-139
646fc2f1 fileExists                       2   8 src/cli/init.ts                          141-148
6ae4c241 listCommand                      5  33 src/cli/list.ts                          5-50
25e3da24 outputJSON                       1  20 src/cli/list.ts                          52-72
f775e9e9 applyFilters                     6  18 src/cli/list.ts                          74-98
aec977c9 applySorting                    13  31 src/cli/list.ts                          100-135
98c5ff63 applyLimit                       4  10 src/cli/list.ts                          137-148
5c195f2b outputFormatted                  9  26 src/cli/list.ts                          150-179
baa1a171 scanCommand                      3  22 src/cli/scan.ts                          12-41
f7958904 initializeScan                   1   4 src/cli/scan.ts                          43-46
d4d6aa30 checkConfigurationChanges        5  35 src/cli/scan.ts                          48-90
aea18cf8 determineScanPaths               1   3 src/cli/scan.ts                          92-94
abddbacc initializeComponents             3  12 src/cli/scan.ts                          96-112
b5c6bc2d discoverFiles                    1   6 src/cli/scan.ts                          114-119
c8de7120 performAnalysis                  1   6 src/cli/scan.ts                          121-128
cc1ad3b7 performFullAnalysis              2  12 src/cli/scan.ts                          131-144
e8d219b0 performBatchAnalysis             2  14 src/cli/scan.ts                          146-160
a53a3ca7 performStreamingAnalysis         1   8 src/cli/scan.ts                          162-171
f7724af7 saveResults                      3  21 src/cli/scan.ts                          173-197
c45067c8 showCompletionMessage            1  11 src/cli/scan.ts                          199-209
98a3bc4e handleScanError                  4   8 src/cli/scan.ts                          211-220
54af34af findTypeScriptFiles              5  27 src/cli/scan.ts                          222-254
9351f51e analyzeBatch                     5  19 src/cli/scan.ts                          256-279
0fe3fe4c showAnalysisSummary             11  49 src/cli/scan.ts                          281-341
88ae3f9d estimateMemoryUsage              1   4 src/cli/scan.ts                          343-347
49e0d940 calculateFileCount               1   4 src/cli/scan.ts                          349-352
03f30040 calculateStats                   3  24 src/cli/scan.ts                          354-380
53d5188b searchCommand                   15  58 src/cli/search.ts                        11-86
baf7d16a displaySearchResults             4  17 src/cli/search.ts                        88-107
5b812671 displayTable                    12  30 src/cli/search.ts                        124-163
4b7875dd displayFriendly                  1  10 src/cli/search.ts                        165-174
84b03920 displayFunctionHeader            1   3 src/cli/search.ts                        176-178
33580948 displayFunctionLocation          1   3 src/cli/search.ts                        180-182
18f34a3f displayMetricsLine               2   7 src/cli/search.ts                        184-192
98e7d4fd buildBasicMetricsLine            3   5 src/cli/search.ts                        194-198
75ea99b0 addSimilarityToMetricLine        3  10 src/cli/search.ts                        200-212
b131df7e addSimilarityScore               1   4 src/cli/search.ts                        214-217
fa8375b5 addHybridScore                   1   4 src/cli/search.ts                        219-222
dddb1450 displaySimilarityDetails         1   6 src/cli/search.ts                        224-230
7669aea0 displaySimilarityBreakdown       4   8 src/cli/search.ts                        232-241
0cb7a2a1 displayMatchedTerms              4   6 src/cli/search.ts                        243-249
0dcebaae displaySimilarityExplanation     2   5 src/cli/search.ts                        251-255
81cb6bf2 displayDocumentation             3  10 src/cli/search.ts                        257-267
2ca77613 getSimilarityColor               3   5 src/cli/search.ts                        269-273
b4ec56ed getComplexityColor               3   5 src/cli/search.ts                        275-279
f5a3f6bc truncate                         2   4 src/cli/search.ts                        281-284
07f41faa performSemanticSearch           18  92 src/cli/search.ts                        289-405
83877f2d performHybridSearch              9  51 src/cli/search.ts                        410-477
0d4697f7 mergeHybridResults               5  83 src/cli/search.ts                        482-575
8d691514 showCommand                      4  17 src/cli/show.ts                          6-24
84c33cb1 initializeShowCommand            1   7 src/cli/show.ts                          26-34
