
> funcqc@0.1.0 dev
> tsx src/cli.ts list --limit 898

ID       Name                            CC LOC File                                     Location
-------- ------------------------------- -- --- ---------------------------------------- --------
072a6c57 calculateCognitiveComplexity     5  15 src/metrics/quality-calculator.ts        162-191
ff4d9440 getCognitiveComplexityInfo       1  28 src/metrics/quality-calculator.ts        193-226
737fa028 calculateMaxNestingLevel         3  11 src/metrics/quality-calculator.ts        228-249
67db06bf isNestingNode                    1  14 src/metrics/quality-calculator.ts        251-264
466dcc48 countReturnStatements            2   6 src/metrics/quality-calculator.ts        266-278
cf42d1e8 countBranches                    3   6 src/metrics/quality-calculator.ts        280-292
44309c15 countLoops                       6  10 src/metrics/quality-calculator.ts        294-310
8bafa533 countTryCatch                    2   6 src/metrics/quality-calculator.ts        312-324
22730dab countAsyncAwait                  2   6 src/metrics/quality-calculator.ts        326-338
ffd31ab3 countCallbacks                   4   7 src/metrics/quality-calculator.ts        340-354
d528c1e0 calculateCommentLines            1  15 src/metrics/quality-calculator.ts        356-372
53f15220 calculateHalsteadVolume          1   6 src/metrics/quality-calculator.ts        374-381
8898cdf2 collectHalsteadMetrics           1   5 src/metrics/quality-calculator.ts        383-403
bfaab9a9 processOperators                 1   1 src/metrics/quality-calculator.ts        405-429
5125b53a processBinaryOperator            1   1 src/metrics/quality-calculator.ts        431-434
a335f7de processUnaryOperator             1   1 src/metrics/quality-calculator.ts        436-441
d0567fb5 addOperator                      1   1 src/metrics/quality-calculator.ts        443-446
e204d9ff getUnaryOperator                 1  11 src/metrics/quality-calculator.ts        448-458
0883d0a1 processOperands                  1   1 src/metrics/quality-calculator.ts        460-466
797daec3 calculateHalsteadDifficulty      1   6 src/metrics/quality-calculator.ts        468-477
4a87b6a0 calculateMaintainabilityIndex    1  11 src/metrics/quality-calculator.ts        479-497
23fa2686 toFloat32Array                   2   6 src/services/ann-index.ts                46-51
133e78ee ensureFloat32Array               1   3 src/services/ann-index.ts                53-55
979c0e18 calculateNorm                    2   7 src/services/ann-index.ts                60-66
6298d0f7 calculateCosineSimilarityOpt...  5  25 src/services/ann-index.ts                71-103
0ace6b4b calculateL2DistanceOptimized     2   9 src/services/ann-index.ts                108-119
67fdf6d6 quickselect                      4  17 src/services/ann-index.ts                124-142
d0c46563 partition                        3  17 src/services/ann-index.ts                144-162
4091f808 topK                             2  12 src/services/ann-index.ts                167-181
8e710f58 constructor                      1   3 src/services/ann-index.ts                190-192
e101cd81 get                              1   9 src/services/ann-index.ts                194-203
ab409e62 set                              1   1 src/services/ann-index.ts                205-216
9fac25d9 clear                            1   3 src/services/ann-index.ts                218-220
c128eb96 size                             1   3 src/services/ann-index.ts                222-224
fdafe189 constructor                      1   4 src/services/ann-index.ts                238-241
81992f14 buildIndex                       1   1 src/services/ann-index.ts                246-278
9e05c804 searchApproximate                1   1 src/services/ann-index.ts                283-358
fe3a8c97 initializeClusters               1   1 src/services/ann-index.ts                360-432
e9070893 assignToClusters                 3  13 src/services/ann-index.ts                434-460
86a9ee82 updateCentroids                  8  24 src/services/ann-index.ts                462-501
1437c5fb getSearchDepth                   1  12 src/services/ann-index.ts                503-514
3850bdbb calculateDistance                1   5 src/services/ann-index.ts                516-520
6c381f0d getIndexStats                    1  12 src/services/ann-index.ts                523-534
dd0ab4a5 constructor                      1   4 src/services/ann-index.ts                548-551
e6990943 buildIndex                       1   1 src/services/ann-index.ts                553-598
c033d800 searchApproximate                1   1 src/services/ann-index.ts                600-671
a470078f getOptimalTableCount             1  12 src/services/ann-index.ts                673-684
3bc86cd3 generateRandomProjections        1  14 src/services/ann-index.ts                686-702
cb4099ce computeHashes                    1  18 src/services/ann-index.ts                704-728
e3fe4404 getIndexStats                    1   1 src/services/ann-index.ts                731-744
f3e0101d constructor                      1   5 src/services/ann-index.ts                755-759
6d4681fc buildIndex                       1   6 src/services/ann-index.ts                761-766
ff48890b searchApproximate                1   1 src/services/ann-index.ts                768-805
ac36cd7e getIndexStats                    1   8 src/services/ann-index.ts                807-814
e2b3fbca createANNIndex                   4  12 src/services/ann-index.ts                820-831
8688d6d5 constructor                      1  16 src/services/embedding-service.ts        57-77
499c43e5 initialize                       1   5 src/services/embedding-service.ts        82-84
7626fa7a isInitialized                    1   5 src/services/embedding-service.ts        89-91
8a48e93b getModelInfo                     1   9 src/services/embedding-service.ts        96-102
f0d6f246 getANNInfo                       1  10 src/services/embedding-service.ts        107-114
06cfe30b buildANNIndex                    1   9 src/services/embedding-service.ts        119-143
f826d6c2 addToANNIndex                    1   9 src/services/embedding-service.ts        148-172
b5f4123d semanticSearch                   2   6 src/services/embedding-service.ts        177-214
f4fdf523 exactSemanticSearch              1   1 src/services/embedding-service.ts        219-248
9792e299 isANNIndexReady                  1   5 src/services/embedding-service.ts        253-255
30bfdfe5 getIndexStatistics               1  12 src/services/embedding-service.ts        260-270
639aa00d rebuildANNIndex                  1   1 src/services/embedding-service.ts        275-291
2b99237c generateEmbedding                1   1 src/services/embedding-service.ts        296-311
9e47f8e4 batchGenerateEmbeddings          1   1 src/services/embedding-service.ts        316-340
aa5eb68c generateFunctionEmbeddings       2  12 src/services/embedding-service.ts        345-381
35a83f09 prepareFunctionText              4   6 src/services/embedding-service.ts        386-436
392f0977 extractJsDocExamples             1   1 src/services/embedding-service.ts        441-449
76fe6978 cleanJsDoc                       1  15 src/services/embedding-service.ts        454-470
541039ef cosineSimilarity                 1  17 src/services/embedding-service.ts        475-492
26d4854a euclideanDistance                1  13 src/services/embedding-service.ts        497-509
c5d86612 constructor                      1   4 ...ervices/embedding/enhanced-service.ts 39-42
ff84d748 initialize                       2   5 ...ervices/embedding/enhanced-service.ts 47-58
12d06db5 cleanupResources                 1   1 ...ervices/embedding/enhanced-service.ts 63-76
04718d4d initializeComponents             1   1 ...ervices/embedding/enhanced-service.ts 81-91
2effa724 generateFunctionEmbeddings       2  13 ...ervices/embedding/enhanced-service.ts 96-146
256ead99 buildIndex                       1   1 ...ervices/embedding/enhanced-service.ts 151-166
57de434e addToIndex                       1   1 ...ervices/embedding/enhanced-service.ts 171-187
a5abe92d convertToEmbeddingVectors        1  10 ...ervices/embedding/enhanced-service.ts 192-203
7012a105 semanticSearch                   2   6 ...ervices/embedding/enhanced-service.ts 208-262
e606aa1d isReady                          1   7 ...ervices/embedding/enhanced-service.ts 267-273
fcc82cc7 getStats                         1  17 ...ervices/embedding/enhanced-service.ts 278-292
6611b50d prepareFunctionText              1  32 ...ervices/embedding/enhanced-service.ts 297-340
fd1b4856 formatParameterInfo              4   6 ...ervices/embedding/enhanced-service.ts 345-354
dc7cc364 extractJsDocExamples             1   1 ...ervices/embedding/enhanced-service.ts 359-367
eaa58bfc cleanJsDoc                       1  15 ...ervices/embedding/enhanced-service.ts 372-388
74a15784 exactSemanticSearch              1   1 ...ervices/embedding/enhanced-service.ts 393-423
e8b74162 cosineSimilarity                 1  17 ...ervices/embedding/enhanced-service.ts 428-445
0fe261bd estimateTokenCount               1   5 ...ervices/embedding/enhanced-service.ts 450-453
eef86c28 updateSearchStats                1   9 ...ervices/embedding/enhanced-service.ts 458-465
80c16e2a withOpenAIClient                 1   6 src/services/embedding/index.ts          34-37
ee0ef349 withVectorStore                  1   6 src/services/embedding/index.ts          42-45
b754e9e7 withRuntimeOptions               1   6 src/services/embedding/index.ts          50-53
008a39b2 withANN                          1   6 src/services/embedding/index.ts          58-61
87ded788 withOpenAIKey                    1  11 src/services/embedding/index.ts          66-74
94bb0f5b forProduction                    1  21 src/services/embedding/index.ts          79-99
5249599a forDevelopment                   1  21 src/services/embedding/index.ts          104-124
c7111c37 build                            1   5 src/services/embedding/index.ts          129-131
bb932b7f buildAndInitialize               1   7 src/services/embedding/index.ts          136-140
0a2cbb40 constructor                      1   7 src/services/embedding/openai-client.ts  36-43
72fad0cd initializeClient                 1   8 src/services/embedding/openai-client.ts  45-52
9225dec4 initialize                       1   5 src/services/embedding/openai-client.ts  57-59
033bbb5e generateEmbedding                1   1 src/services/embedding/openai-client.ts  64-110
c7bee4ae batchGenerateEmbeddings          1   2 src/services/embedding/openai-client.ts  115-158
f3b83066 processBatchChunk                1   1 src/services/embedding/openai-client.ts  163-202
543d18d2 getModelInfo                     1  10 src/services/embedding/openai-client.ts  207-214
cb8c7f42 isInitialized                    1   5 src/services/embedding/openai-client.ts  219-221
7a9f72ff getStats                         1  12 src/services/embedding/openai-client.ts  226-235
1f81830e isNonRetryableError              1  12 src/services/embedding/openai-client.ts  240-250
4aabaec2 calculateBackoffDelay            1   6 src/services/embedding/openai-client.ts  255-258
cc2e05a1 sleep                            1   1 src/services/embedding/openai-client.ts  263-265
959193a3 updateResponseTime               1   8 src/services/embedding/openai-client.ts  270-275
7a373529 constructor                      1  12 src/services/embedding/vector-store.ts   52-65
7669dc46 initializeIndex                  1  12 src/services/embedding/vector-store.ts   70-80
2ed264a6 buildIndex                       2   6 src/services/embedding/vector-store.ts   85-115
eb02f989 addEmbeddings                    2   6 src/services/embedding/vector-store.ts   120-148
6c7f38ce removeEmbeddings                 1   1 src/services/embedding/vector-store.ts   153-173
0eaca9c5 search                           1   1 src/services/embedding/vector-store.ts   178-205
fe8ba2c9 isReady                          1   5 src/services/embedding/vector-store.ts   210-212
c40d6e56 getStats                         1  14 src/services/embedding/vector-store.ts   217-229
08bda608 clear                            1  10 src/services/embedding/vector-store.ts   234-242
bd077ff6 getEmbeddings                    2   6 src/services/embedding/vector-store.ts   247-258
9fa72618 shouldFlushBuffer                1   5 src/services/embedding/vector-store.ts   263-265
8e8c2d36 scheduleBufferFlush              1   3 src/services/embedding/vector-store.ts   270-278
800971ae flushBuffer                      1   1 src/services/embedding/vector-store.ts   283-324
34c32472 clearBuffer                      1   1 src/services/embedding/vector-store.ts   329-337
4ce788aa simpleStem                       4  22 src/services/local-similarity-service.ts 48-73
e2d1d023 tokenizeText                     3  16 src/services/local-similarity-service.ts 78-96
ee2b38ca generateNgrams                   2   8 src/services/local-similarity-service.ts 101-110
a9f7b9a9 calculateTFIDF                  10  27 src/services/local-similarity-service.ts 115-150
efd75bb3 calculateCosineSimilarity        3  12 src/services/local-similarity-service.ts 155-168
7f7ef6e0 calculateJaccardSimilarity       2   5 src/services/local-similarity-service.ts 173-177
0dcd27a4 constructor                      1  11 src/services/local-similarity-service.ts 187-197
d5c8b24c indexDocuments                   1   1 src/services/local-similarity-service.ts 202-267
394ac7b3 searchSimilar                    1   1 src/services/local-similarity-service.ts 272-373
e05eb9b2 getMetrics                       1   1 src/services/local-similarity-service.ts 378-407
19679e77 clear                            1   6 src/services/local-similarity-service.ts 412-415
83435b65 isAvailable                      1   3 ...arity/advanced-similarity-detector.ts 30-32
17afd0ba detect                           1   1 ...arity/advanced-similarity-detector.ts 34-49
2077f42a detectAdvancedMode               1  10 ...arity/advanced-similarity-detector.ts 54-66
17cbb0b5 executeDetectionAlgorithms       1  15 ...arity/advanced-similarity-detector.ts 71-90
72cbe53c detectTwoStageMode               1   1 ...arity/advanced-similarity-detector.ts 95-118
ccbba2d8 extractCandidates                1   1 ...arity/advanced-similarity-detector.ts 123-172
6c0c6073 postFilterCandidates             4   7 ...arity/advanced-similarity-detector.ts 177-192
1fa2a543 mergeResults                     1  30 ...arity/advanced-similarity-detector.ts 198-231
e1e68d6a createPairKey                    1   1 ...arity/advanced-similarity-detector.ts 233-238
bae51c2e detectFastMode                   1   8 ...arity/advanced-similarity-detector.ts 243-289
55977eaa parseDetectionOptions            1  10 ...arity/advanced-similarity-detector.ts 291-300
298fe151 filterValidFunctions             4  10 ...arity/advanced-similarity-detector.ts 302-317
77138be1 initializeProject                1   1 ...arity/advanced-similarity-detector.ts 319-359
5d89ad96 ensureFilesLoaded                1   1 ...arity/advanced-similarity-detector.ts 361-383
d90216ab fileExists                       1   9 ...arity/advanced-similarity-detector.ts 385-393
508c164a generateFingerprints             1   1 ...arity/advanced-similarity-detector.ts 395-462
1812e847 generateFunctionFingerprint      1   4 ...arity/advanced-similarity-detector.ts 464-508
c78a32da generateFingerprintFromSource    1  21 ...arity/advanced-similarity-detector.ts 513-537
4bfd93b8 tokenizeSourceCode               1   1 ...arity/advanced-similarity-detector.ts 539-545
f526561e canonicalizeTokens               5  12 ...arity/advanced-similarity-detector.ts 547-569
f31a709d findFunctionNode                 4  11 ...arity/advanced-similarity-detector.ts 571-589
6874fa9d canonicalizeAST                  1  13 ...arity/advanced-similarity-detector.ts 594-607
be7c6060 canonicalizeNode                 1   1 ...arity/advanced-similarity-detector.ts 609-632
820519ba shouldSkipNode                   1   3 ...arity/advanced-similarity-detector.ts 634-636
aad332e7 canonicalizeIdentifier           1  14 ...arity/advanced-similarity-detector.ts 638-656
021a0a46 isFunctionContext                1   5 ...arity/advanced-similarity-detector.ts 658-662
fb701db4 canonicalizeLiteral              1  10 ...arity/advanced-similarity-detector.ts 664-674
a0d33e3e computeMerkleHash                1  11 ...arity/advanced-similarity-detector.ts 679-689
3efc2d42 computeNodeMerkleHash            1   1 ...arity/advanced-similarity-detector.ts 691-699
801574be hash64                           1  11 ...arity/advanced-similarity-detector.ts 701-715
8a713a60 mixHashes                        1  10 ...arity/advanced-similarity-detector.ts 717-729
fd5cce5d generateSimHashFingerprints      1   1 ...arity/advanced-similarity-detector.ts 734-758
160ca0af computeSimHash                   1  21 ...arity/advanced-similarity-detector.ts 764-787
e7042f68 computeSignatureHash             1   6 ...arity/advanced-similarity-detector.ts 792-795
5a3a1e2f extractStructuralSignature      10  24 ...arity/advanced-similarity-detector.ts 797-827
109f6602 detectExactMatches               1  27 ...arity/advanced-similarity-detector.ts 832-861
23fd1640 detectNearDuplicates             1  39 ...arity/advanced-similarity-detector.ts 866-911
2613fe1f getLSHBucketKey                  1   4 ...arity/advanced-similarity-detector.ts 913-917
9843e2c8 logLSHBucketDistribution         1   1 ...arity/advanced-similarity-detector.ts 922-952
1f816c13 checkSmallBucketCandidates       1  33 ...arity/advanced-similarity-detector.ts 957-993
ed6d2ea8 computeSimHashSimilarity         1  10 ...arity/advanced-similarity-detector.ts 995-1008
24b6ac33 computeHammingDistance           1  10 ...arity/advanced-similarity-detector.ts 1010-1021
45f16c2b hammingDistance                  1   9 ...arity/advanced-similarity-detector.ts 1023-1033
2723e124 isValidSimilarity                1  25 ...arity/advanced-similarity-detector.ts 1038-1073
8342dec9 areNamesSimilar                  1  15 ...arity/advanced-similarity-detector.ts 1075-1094
de60baad editDistance                     1   1 ...arity/advanced-similarity-detector.ts 1096-1114
dfe867ce detectStructuralSimilarities     1  33 ...arity/advanced-similarity-detector.ts 1119-1154
9b18807c computeStructuralSimilarity      1  15 ...arity/advanced-similarity-detector.ts 1156-1173
5e7e6328 jaccardSimilarity                1   1 ...arity/advanced-similarity-detector.ts 1175-1183
ceb0e25f shouldIncludeGroup               1   1 ...arity/advanced-similarity-detector.ts 1188-1195
bac6075e shouldIncludePair                1   6 ...arity/advanced-similarity-detector.ts 1197-1204
09ccbd52 createSimilarityResult           1   8 ...arity/advanced-similarity-detector.ts 1206-1234
2c99b11b computeAverageComplexity         1   1 ...arity/advanced-similarity-detector.ts 1236-1244
ffc5c805 computeAverageLines              1   1 ...arity/advanced-similarity-detector.ts 1246-1254
ecbdd8eb deduplicateResults               1   6 ...arity/advanced-similarity-detector.ts 1256-1264
70347855 mergeOverlappingGroups           1   1 ...arity/advanced-similarity-detector.ts 1269-1293
99549fdd findConnectedGroups              2   8 ...arity/advanced-similarity-detector.ts 1295-1312
8949c87b mergeGroupsIntoOne               3  10 ...arity/advanced-similarity-detector.ts 1314-1349
51f7a946 constructor                      1   7 ...similarity/ann-similarity-detector.ts 18-24
a56921f1 isAvailable                      1   8 ...similarity/ann-similarity-detector.ts 26-34
87fd6b28 detect                           1   1 ...similarity/ann-similarity-detector.ts 36-94
8e7268f2 loadEmbeddings                   1  19 ...similarity/ann-similarity-detector.ts 96-117
d7cb35a4 parseDetectionOptions            1   7 ...similarity/ann-similarity-detector.ts 119-125
95d8bac5 passesFilters                    1  15 ...similarity/ann-similarity-detector.ts 127-145
b99cf7cb getPairKey                       1   3 ...similarity/ann-similarity-detector.ts 147-149
9745c8de createSimilarityResult           1  21 ...similarity/ann-similarity-detector.ts 151-171
8553f436 createSimilarFunction            1  10 ...similarity/ann-similarity-detector.ts 173-182
1ade38c4 groupSimilarFunctions            1   1 ...similarity/ann-similarity-detector.ts 184-257
e0dad775 canonicalize                     1   9 src/similarity/ast-canonicalizer.ts      14-23
6a2aa479 canonicalizeSourceCode           1   1 src/similarity/ast-canonicalizer.ts      28-57
77909cbf findArrowFunctions               3   5 src/similarity/ast-canonicalizer.ts      59-69
2605d812 canonicalizeNode                 1  16 src/similarity/ast-canonicalizer.ts      71-93
ffc5a392 canonicalizeBlock                1   1 src/similarity/ast-canonicalizer.ts      95-103
eaaaeba7 canonicalizeIfStatement          1   2 src/similarity/ast-canonicalizer.ts      105-130
184cef93 canonicalizeLoop                 1   1 src/similarity/ast-canonicalizer.ts      132-138
40708083 canonicalizeReturnStatement      2   3 src/similarity/ast-canonicalizer.ts      140-148
392c0154 canonicalizeVariableStatement    1   3 src/similarity/ast-canonicalizer.ts      150-153
f052d760 canonicalizeExpressionStatement  1   1 src/similarity/ast-canonicalizer.ts      155-159
1c4281d9 canonicalizeTryStatement         1   1 src/similarity/ast-canonicalizer.ts      161-170
38f999af canonicalizeSwitchStatement      1   3 src/similarity/ast-canonicalizer.ts      172-175
3dd47785 canonicalizeCallExpression       1   2 src/similarity/ast-canonicalizer.ts      177-188
1474a570 canonicalizeBinaryExpression     1  10 src/similarity/ast-canonicalizer.ts      190-199
a03df9f8 canonicalizePropertyAccess       1   8 src/similarity/ast-canonicalizer.ts      201-210
4995ab43 canonicalizeIdentifier           1  19 src/similarity/ast-canonicalizer.ts      212-235
21ccfb0f isStatementNode                  1   8 src/similarity/ast-canonicalizer.ts      237-244
933c6add isExpressionNode                 1   6 src/similarity/ast-canonicalizer.ts      246-251
6aaae742 isLiteralNode                    1   7 src/similarity/ast-canonicalizer.ts      253-259
21cb365e isKeywordNode                    1   9 src/similarity/ast-canonicalizer.ts      261-269
313a2a8f canonicalizeStatementNode        1  25 src/similarity/ast-canonicalizer.ts      271-295
65ef4d2b canonicalizeExpressionNode       1  14 src/similarity/ast-canonicalizer.ts      297-310
a96e84ab canonicalizeLiteralNode          1  18 src/similarity/ast-canonicalizer.ts      312-329
50db2b34 canonicalizeKeywordNode          1  18 src/similarity/ast-canonicalizer.ts      331-349
60058a5f canonicalizeChildren             1   1 src/similarity/ast-canonicalizer.ts      351-356
19ed4801 calculateASTSimilarity           5   7 src/similarity/ast-canonicalizer.ts      362-370
15dc1a1c levenshteinDistance              6  21 src/similarity/ast-canonicalizer.ts      372-395
54414c98 constructor                      1  22 ...similarity/ast-similarity-detector.ts 14-36
a1d61411 dispose                          1   1 ...similarity/ast-similarity-detector.ts 38-42
2f3e4dfa detect                           1   6 ...similarity/ast-similarity-detector.ts 44-50
4c200d82 isAvailable                      1   3 ...similarity/ast-similarity-detector.ts 52-54
70217e29 parseDetectionOptions            1   7 ...similarity/ast-similarity-detector.ts 56-62
56fd96e0 filterValidFunctions             2   2 ...similarity/ast-similarity-detector.ts 64-68
d8014a34 detectPairwiseSimilarities       1  23 ...similarity/ast-similarity-detector.ts 70-98
bd0d97ca shouldSkipComparison             1  12 ...similarity/ast-similarity-detector.ts 100-114
171310d8 createSimilarityResult           1  21 ...similarity/ast-similarity-detector.ts 116-136
12a61604 calculateSimilarity              1   1 ...similarity/ast-similarity-detector.ts 138-176
a75f8a95 calculateASTStructureSimilarity  1  13 ...similarity/ast-similarity-detector.ts 178-198
64bd6cea calculateTextBasedSimilarity     1   7 ...similarity/ast-similarity-detector.ts 200-209
ca383bd5 normalizeCode                    2   6 ...similarity/ast-similarity-detector.ts 211-231
55061c01 calculateSignatureSimilarity     1  13 ...similarity/ast-similarity-detector.ts 233-251
9c2355ef calculateMetricsSimilarity       1  26 ...similarity/ast-similarity-detector.ts 253-282
b6425780 calculateParameterSimilarity     1  13 ...similarity/ast-similarity-detector.ts 284-298
56df7c98 calculateReturnTypeSimilarity    1   5 ...similarity/ast-similarity-detector.ts 300-305
296d885d levenshteinDistance              1   1 ...similarity/ast-similarity-detector.ts 307-330
d1d379fa getPairKey                       1   3 ...similarity/ast-similarity-detector.ts 332-334
28189454 createSimilarFunction            1  10 ...similarity/ast-similarity-detector.ts 336-345
3142b890 groupSimilarFunctions            1   5 ...similarity/ast-similarity-detector.ts 347-352
91bba8ae buildSimilarityGraph             1  14 ...similarity/ast-similarity-detector.ts 354-372
db01ef12 ensureNodeExists                 1   1 ...similarity/ast-similarity-detector.ts 374-378
30c2aac3 findConnectedComponents          1  13 ...similarity/ast-similarity-detector.ts 380-394
5a618fae exploreComponent                 1   1 ...similarity/ast-similarity-detector.ts 396-420
7c431edb createGroupedResults             1  16 ...similarity/ast-similarity-detector.ts 422-444
b3c0ced0 getFunctionsInComponent          1   1 ...similarity/ast-similarity-detector.ts 446-453
a72fba65 calculateAverageSimilarity       1   1 ...similarity/ast-similarity-detector.ts 455-471
b04d45cd findFirstMatchingResult          1   4 ...similarity/ast-similarity-detector.ts 473-481
91b50eb0 isAvailable                      1   3 ...imilarity/hash-similarity-detector.ts 12-14
cb2b8e8b detect                           1   6 ...imilarity/hash-similarity-detector.ts 16-24
9f2df1b6 parseDetectionOptions            1   7 ...imilarity/hash-similarity-detector.ts 26-32
994f56df filterValidFunctions             2   2 ...imilarity/hash-similarity-detector.ts 34-38
6d88a09c detectHashSimilarities           1   1 ...imilarity/hash-similarity-detector.ts 40-78
7c0536bc groupByHash                      1   1 ...imilarity/hash-similarity-detector.ts 80-139
b179cbf0 createHashResults                1  23 ...imilarity/hash-similarity-detector.ts 141-166
b00371c7 createSimilarityResult           1  24 ...imilarity/hash-similarity-detector.ts 168-191
f6362f45 createSimilarFunction            1  10 ...imilarity/hash-similarity-detector.ts 193-202
f9d01062 groupSimilarFunctions            4   6 ...imilarity/hash-similarity-detector.ts 204-254
e8ea3387 constructor                      1   8 src/similarity/similarity-manager.ts     11-27
7420078d registerDetector                 1   3 src/similarity/similarity-manager.ts     29-31
fe835fe7 detectSimilarities               1   1 src/similarity/similarity-manager.ts     33-46
8b2bf075 runSpecificDetectors             3  13 src/similarity/similarity-manager.ts     48-85
56c649a5 runPriorityBasedDetection        1   1 src/similarity/similarity-manager.ts     87-125
7b7521b0 applyConsensus                   1  14 src/similarity/similarity-manager.ts     127-144
4dfe3775 majorityConsensus                1   1 src/similarity/similarity-manager.ts     146-183
416ae112 intersectionConsensus            1   1 src/similarity/similarity-manager.ts     185-226
51d8d9dd weightedConsensus                1   1 src/similarity/similarity-manager.ts     228-271
02a9ffba getPairKey                       1   1 src/similarity/similarity-manager.ts     273-278
f6500441 getAvailableDetectors            1   3 src/similarity/similarity-manager.ts     280-282
276e5caf constructor                      1   5 src/storage/pglite-adapter.ts            40-45
3e7a7c4c init                             1   1 src/storage/pglite-adapter.ts            47-68
b4fc03cd close                            2   3 src/storage/pglite-adapter.ts            70-76
7dbfbf5b saveSnapshot                     2   3 src/storage/pglite-adapter.ts            82-96
3c904ce7 getSnapshots                     1   1 src/storage/pglite-adapter.ts            98-120
646f34a0 getSnapshot                      1   1 src/storage/pglite-adapter.ts            122-134
c65e2ff6 deleteSnapshot                   2   3 src/storage/pglite-adapter.ts            136-143
6549c4f2 getLastConfigHash                1   1 src/storage/pglite-adapter.ts            149-163
5cf2ef19 getFunctions                     1   4 src/storage/pglite-adapter.ts            169-295
30ee0f59 getFunctionsBySnapshot           2   3 src/storage/pglite-adapter.ts            297-319
b35080a5 queryFunctions                   1   1 src/storage/pglite-adapter.ts            321-334
ed9a464d diffSnapshots                    2   3 src/storage/pglite-adapter.ts            340-356
77aa96dc validateAndLoadSnapshots         1   8 src/storage/pglite-adapter.ts            358-367
1cdaf0f1 loadSnapshotFunctions            1   5 src/storage/pglite-adapter.ts            369-373
700327e3 calculateSnapshotDifferences     1   1 src/storage/pglite-adapter.ts            375-388
46265ed7 categorizeChangedFunctions       1  22 src/storage/pglite-adapter.ts            390-412
45fb52bf findRemovedFunctions             1   7 src/storage/pglite-adapter.ts            414-420
ab4d9340 calculateFunctionChanges         1  42 src/storage/pglite-adapter.ts            422-472
ed629d5a calculateChangeImpact            1  19 src/storage/pglite-adapter.ts            474-495
567e2482 calculateDiffStatistics          1  12 src/storage/pglite-adapter.ts            497-509
aebe8b60 aggregateMetrics                 2   2 src/storage/pglite-adapter.ts            511-525
52ace1af saveFunctionDescription          2   3 src/storage/pglite-adapter.ts            531-561
faa1184e getFunctionDescription           1   1 src/storage/pglite-adapter.ts            563-599
e6ca818e getFunctionsNeedingDescriptions  1   4 src/storage/pglite-adapter.ts            601-651
145bc346 searchFunctionsByDescription     1   4 src/storage/pglite-adapter.ts            653-707
50c08cac getFunctionsWithDescriptions     1   4 src/storage/pglite-adapter.ts            709-751
c58882b2 getFunctionsWithoutDescriptions  1   4 src/storage/pglite-adapter.ts            753-794
cc31e30b saveEmbedding                    2   3 src/storage/pglite-adapter.ts            800-818
9bcc2205 getEmbedding                     1   1 src/storage/pglite-adapter.ts            820-839
49a4e981 searchByEmbedding                1   5 src/storage/pglite-adapter.ts            841-905
865ca143 bulkSaveEmbeddings               2   5 src/storage/pglite-adapter.ts            907-915
64ee81c8 getFunctionsWithoutEmbeddings    1   4 src/storage/pglite-adapter.ts            917-956
be844643 getFunctionsWithEmbeddings       1   4 src/storage/pglite-adapter.ts            958-996
54ae9c99 getFunction                      1   1 src/storage/pglite-adapter.ts            998-1026
92feb262 getEmbeddingStats                2   3 src/storage/pglite-adapter.ts            1028-1050
3745388b saveANNIndex                     2   3 src/storage/pglite-adapter.ts            1060-1106
19d5d621 getCurrentANNIndex               1   1 src/storage/pglite-adapter.ts            1111-1164
a33700df getAllANNIndexes                 2   3 src/storage/pglite-adapter.ts            1169-1208
c3ca05ee deleteANNIndex                   2   3 src/storage/pglite-adapter.ts            1213-1219
7e6b12e2 getANNIndexStats                 2   3 src/storage/pglite-adapter.ts            1224-1280
cdf62fbb cleanup                          1   3 src/storage/pglite-adapter.ts            1286-1288
e22e00e3 backup                           1   3 src/storage/pglite-adapter.ts            1290-1292
c05d7eee restore                          1   3 src/storage/pglite-adapter.ts            1294-1296
7831466d executeInTransaction             1   1 src/storage/pglite-adapter.ts            1306-1324
b04f37ee beginTransaction                 1   5 src/storage/pglite-adapter.ts            1329-1331
002f604b commitTransaction                1   5 src/storage/pglite-adapter.ts            1336-1338
bcfbac5a rollbackTransaction              1   5 src/storage/pglite-adapter.ts            1343-1345
101852ab bulkDeleteFunctionsBySnapshot    2   7 src/storage/pglite-adapter.ts            1354-1364
6a347611 bulkUpdateQualityMetrics         6  23 src/storage/pglite-adapter.ts            1369-1398
2c590390 createSchema                     2   3 src/storage/pglite-adapter.ts            1404-1456
44641f36 tableExists                      1   1 src/storage/pglite-adapter.ts            1458-1470
06ae6f54 getExistingTables                1   1 src/storage/pglite-adapter.ts            1472-1483
502b3f99 needsSchemaUpdate                1   3 src/storage/pglite-adapter.ts            1485-1503
2d8d5da2 dropOldTablesIfNeeded            2   3 src/storage/pglite-adapter.ts            1505-1525
54049f53 getSnapshotsTableSQL             1  15 src/storage/pglite-adapter.ts            1527-1541
91d58bb3 getFunctionsTableSQL             1  43 src/storage/pglite-adapter.ts            1543-1591
4f74f6c7 getParametersTableSQL            1  16 src/storage/pglite-adapter.ts            1593-1608
ea159d17 getMetricsTableSQL               1  24 src/storage/pglite-adapter.ts            1610-1633
74ce19cf getFunctionDescriptionsTableSQL  1  15 src/storage/pglite-adapter.ts            1635-1649
17492c8d getFunctionEmbeddingsTableSQL    1  12 src/storage/pglite-adapter.ts            1651-1662
